Timestep,DE00,FR00,NL00,UK00,NOM1,NON1,NOS0
2089,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2090,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2091,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2092,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2093,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2094,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2095,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2096,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2097,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2098,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2099,0.0,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2100,345.663687814481,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2101,3671.1532369944225,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2102,9083.009266726134,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2103,15409.903424540684,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2104,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2105,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2106,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2107,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2108,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2109,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2110,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2111,17151.434405192962,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2112,20144.070005673024,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2113,25175.084944841663,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2114,32728.784944841664,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2115,40282.484944841664,10000.000000000002,0.0,0.0,0.0,0.0,0.0
2116,47836.18494484166,10000.000000000002,0.0,2213.560717594891,0.0,0.0,0.0
2117,55389.88494484166,10000.000000000002,0.0,4872.16071759489,0.0,0.0,0.0
2118,62943.584944841656,10000.000000000002,0.0,7530.760717594891,0.0,0.0,0.0
2119,70497.28494484165,10000.000000000002,0.0,10189.360717594891,0.0,0.0,0.0
2120,78050.98494484165,10000.000000000002,0.0,10233.953338357154,0.0,0.0,0.0
2121,85604.68494484165,10000.000000000002,0.0,12892.553338357155,0.0,0.0,0.0
2122,93158.38494484164,10000.000000000002,0.0,15551.153338357155,0.0,0.0,0.0
2123,100712.08494484164,10000.000000000002,0.0,17379.55666499724,0.0,0.0,0.0
2124,108265.78494484164,10000.000000000002,0.0,20038.156664997237,0.0,0.0,0.0
2125,115819.48494484164,10000.000000000002,0.0,22696.756664997236,0.0,0.0,0.0
2126,123373.18494484163,10000.000000000002,0.0,22696.756664997236,0.0,0.0,0.0
2127,130926.88494484163,10000.000000000002,0.0,25355.356664997234,0.0,0.0,0.0
2128,138480.58494484163,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2129,146034.28494484164,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2130,153587.98494484165,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2131,161141.68494484166,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2132,168695.38494484167,10000.000000000002,0.0,24249.547621450438,0.0,0.0,0.0
2133,176249.08494484168,10000.000000000002,0.0,21095.208993084998,0.0,0.0,0.0
2134,183802.7849448417,10000.000000000002,0.0,17812.986770862775,0.0,0.0,0.0
2135,191356.4849448417,10000.000000000002,0.0,14530.764548640553,0.0,0.0,0.0
2136,198910.18494484172,10000.000000000002,0.0,13631.170126388597,0.0,0.0,0.0
2137,206463.88494484173,10000.000000000002,0.0,13631.170126388597,0.0,0.0,0.0
2138,214017.58494484174,10000.000000000002,0.0,13631.170126388597,0.0,0.0,0.0
2139,221571.28494484175,10000.000000000002,0.0,14447.710882482195,0.0,0.0,0.0
2140,229124.98494484177,10000.000000000002,0.0,16465.5715769459,0.0,0.0,0.0
2141,236678.68494484178,10000.000000000002,0.0,18665.514059718796,0.0,0.0,0.0
2142,244232.3849448418,10000.000000000002,0.0,19470.95017570715,0.0,0.0,0.0
2143,251786.0849448418,10000.000000000002,0.0,20743.678505960277,0.0,0.0,0.0
2144,259339.7849448418,10000.000000000002,0.0,22869.462163976616,0.0,0.0,0.0
2145,266893.4849448418,10000.000000000002,0.0,25528.062163976614,0.0,0.0,0.0
2146,274447.18494484184,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2147,282000.88494484185,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2148,289554.58494484186,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2149,297108.2849448419,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2150,304661.9849448419,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2151,312215.6849448419,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2152,319769.3849448419,10000.000000000002,0.0,26380.000000000004,0.0,0.0,0.0
2153,327323.0849448419,10000.000000000002,0.0,26133.49996331977,0.0,0.0,0.0
2154,334876.78494484193,10000.000000000002,0.0,22975.555555555555,0.0,0.0,0.0
2155,342430.48494484194,10000.000000000002,0.0,19693.333333333332,0.0,0.0,0.0
