,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note
151,SE03,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,6614.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
152,SE04,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,2747.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
153,SI00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,6708.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
154,SK00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,3088.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
155,TR00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,50062.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
156,UK00,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,62546.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
157,UKNI,Solar PV,Generation,Electricity Market,,Distributed Energy,2040,2007,1490.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
158,CY00,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,179.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
159,ES00,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,7861.0,DE2040-2007 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands
160,GR03,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,90.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
161,HR00,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,250.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
162,ITS1,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,596.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
163,ITSI,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,641.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
164,LV00,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,48.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
165,PT00,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,450.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
166,UA01,Solar Thermal,Generation,Electricity Market,,Distributed Energy,2040,2007,186.0,DE2040-2007 Update,,,IoSN Lite,Electricity,
167,AL00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,108.54,DE2040-2007 Update,,,IoSN Lite,Electricity,
168,AL00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,92.46,DE2040-2007 Update,,,IoSN Lite,Electricity,
169,BE00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,8130.24,DE2040-2007 Update,,,IoSN Lite,Electricity,
170,BE00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,6925.76,DE2040-2007 Update,,,IoSN Lite,Electricity,
171,BG00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,1386.18,DE2040-2007 Update,,,IoSN Lite,Electricity,
172,BG00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,1180.82,DE2040-2007 Update,,,IoSN Lite,Electricity,
173,CY00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,409.3200000000001,DE2040-2007 Update,,,IoSN Lite,Electricity,
174,CY00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,348.6799999999999,DE2040-2007 Update,,,IoSN Lite,Electricity,
175,DE00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,10869.12,DE2040-2007 Update,,,IoSN Lite,Electricity,
176,DE00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,9258.88,DE2040-2007 Update,,,IoSN Lite,Electricity,
177,FR00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,157.14,DE2040-2007 Update,,,IoSN Lite,Electricity,
178,FR00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,133.86,DE2040-2007 Update,,,IoSN Lite,Electricity,
179,GR00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,21.06,DE2040-2007 Update,,,IoSN Lite,Electricity,
180,GR00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,17.94,DE2040-2007 Update,,,IoSN Lite,Electricity,
181,IE00,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,894.7800000000001,DE2040-2007 Update,,,IoSN Lite,Electricity,
182,IE00,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,762.2199999999999,DE2040-2007 Update,,,IoSN Lite,Electricity,
183,ITCN,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,2200.5,DE2040-2007 Update,,,IoSN Lite,Electricity,
184,ITCN,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,1874.5,DE2040-2007 Update,,,IoSN Lite,Electricity,
185,ITCS,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,3306.42,DE2040-2007 Update,,,IoSN Lite,Electricity,
186,ITCS,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,2816.58,DE2040-2007 Update,,,IoSN Lite,Electricity,
187,ITN1,Gas CCGT new Green,Generation,Electricity Market,,Distributed Energy,2040,2007,9681.12,DE2040-2007 Update,,,IoSN Lite,Electricity,
188,ITN1,Gas CCGT new,Generation,Electricity Market,,Distributed Energy,2040,2007,8246.88,DE2040-2007 Update,,,IoSN Lite,Electricity,
